File_Name                                     Line_Count  Decompressed_Size  Compressed_Size
EURJPY_tick_UTC+0_00_2014-Parse.csv.zst       23653854    1.3G               188M
EURJPY_tick_UTC+0_00_2013-Parse.csv.zst       28146206    1.6G               224M
EURJPY_tick_UTC+0_00_2016-Parse.csv.zst       52390479    3.0G               390M
EURJPY_tick_UTC+0_00_2017-Parse.csv.zst       18347038    1.1G               144M
EURJPY_tick_UTC+0_00_2009-Parse.csv.zst       24110828    1.2G               171M
EURJPY_tick_UTC+0_00_2010-Parse.csv.zst       22159859    1.2G               161M
EURJPY_tick_UTC+0_00_2011-Parse.csv.zst       24138407    1.4G               188M
EURJPY_tick_UTC+0_00_2019-Parse.csv.zst       42369790    2.5G               324M
EURJPY_tick_UTC+0_00_2012-Parse.csv.zst       22354167    1.3G               177M
EURJPY_tick_UTC+0_00_2008-Parse.csv.zst       46011869    2.3G               271M
EURJPY_tick_UTC+0_00_2018-Parse.csv.zst       31688624    1.8G               257M
EURJPY_tick_UTC+0_00_2015-Parse.csv.zst       34272832    1.9G               268M
EURGBP_tick_UTC+0_00_2017-Parse.csv.zst       19624086    1.2G               156M
EURGBP_tick_UTC+0_00_2011-Parse.csv.zst       21821439    1.3G               167M
EURGBP_tick_UTC+0_00_2012-Parse.csv.zst       16246578    941M               120M
EURGBP_tick_UTC+0_00_2018-Parse.csv.zst       18855191    1.2G               152M
EURGBP_tick_UTC+0_00_2016-Parse.csv.zst       34130288    2.0G               250M
EURGBP_tick_UTC+0_00_2013-Parse.csv.zst       15767695    957M               122M
EURGBP_tick_UTC+0_00_2008-Parse.csv.zst       34949995    1.8G               185M
EURGBP_tick_UTC+0_00_2015-Parse.csv.zst       21246105    1.2G               163M
EURGBP_tick_UTC+0_00_2010-Parse.csv.zst       19994146    1.1G               141M
EURGBP_tick_UTC+0_00_2014-Parse.csv.zst       13622858    789M               108M
EURGBP_tick_UTC+0_00_2009-Parse.csv.zst       21026293    1.1G               147M
EURGBP_tick_UTC+0_00_2019-Parse.csv.zst       25326964    1.6G               194M
